"Site crawlé","https://nina-carducci.github.io/"
"Date de début","2025-12-31"
"Heure de début","09:33:34"
"Date de la dernière modification","2025-12-31"
"Heure de la dernière modification","09:33:38"
"Temps écoulé","00:00:03"
"Date du rapport","2025-12-31"
"Heure du rapport","09:38:50"
""
"Résumé","URL","% du total","Total des URL","Total des descriptions d'URL"
"Title de la page uniquement en HTML rendu","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Title de la page mis à jour par JavaScript","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Meta description uniquement en HTML rendu","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Meta description mise à jour par JavaScript","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"H1 uniquement en HTML rendu","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"H1 mis à jour par JavaScript","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Utilise les URL des anciens schémas de crawl AJAX","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Utilise une balise meta fragment des anciens schémas de crawl AJAX","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Pages contenant des erreurs JavaScript","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Pages contenant des avertissements JavaScript","0","0,00%","1","Pages HTML internes avec réponse 2xx"
"Pages contenant des problèmes Chrome","0","0,00%","1","Pages HTML internes avec réponse 2xx"
""
"Liens"
"Tous","1","100,00%","1","Pages HTML internes avec code de réponse 2xx"
"Pages avec une valeur crawl profondeur élevée","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Pages sans liens sortants internes","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Liens sortants Nofollow internes","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Liens sortants internes sans texte d'ancrage","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Texte d'ancrage non descriptif dans les liens sortants internes","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Pages avec beaucoup de liens sortants externes","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Pages avec beaucoup de liens sortants internes","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Liens entrants internes Follow et Nofollow vers la page","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Liens entrants Nofollow uniquement","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Liens sortants vers l'hôte local","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Liens entrants des pages non indexables uniquement","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
""
"AMP"
"Tous","0","0,00%","0","URL AMP internes"
"Réponse non-200","0","0,00%","1","URL HTML internes"
"Lien de retour non-AMP manquant","0","0,00%","0","URL AMP internes"
"Version canonique manquante au Non-AMP","0","0,00%","0","URL AMP internes"
"Version canonique non indexable","0","0,00%","0","URL AMP internes"
"Indexable","0","0,00%","0","URL AMP internes"
"Non indexable","0","0,00%","0","URL AMP internes"
"Étiquette <html amp> manquante","0","0,00%","1","URL HTML internes"
"Étiquette <!doctype html> manquante/non valide","0","0,00%","0","URL AMP internes"
"Étiquette <head> manquante","0","0,00%","0","URL AMP internes"
"Étiquette <body> manquante","0","0,00%","0","URL AMP internes"
"Version canonique manquante","0","0,00%","0","URL AMP internes"
"Étiquette <meta charset> manquante/non valide","0","0,00%","0","URL AMP internes"
"Étiquette <meta viewport> manquante/non valide","0","0,00%","0","URL AMP internes"
"Script AMP manquant/non valide","0","0,00%","0","URL AMP internes"
"Boilerplate AMP manquant/non valide","0","0,00%","0","URL AMP internes"
"Contient du HTML non autorisé","0","0,00%","0","URL AMP internes"
"Autres erreurs de validation","0","0,00%","0","URL AMP internes"
""
"Données structurées"
"Tous","1","100,00%","1","Pages HTML internes avec code de réponse 2xx"
"Contient des données structurées","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Manquant","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Erreurs de validation","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Avertissements de validation","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Erreurs de validation Rich Result","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Avertissements de validation Rich Result","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Erreurs d'analyse syntaxique","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"URL de microdonnées","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"URL JSON-LD","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"URL RDFa","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
"Fonctionnalité Rich Result détectée","0","0,00%","1","Pages HTML internes avec code de réponse 2xx"
""
"Sitemaps"
"Tous","1","100,00%","1","Pages HTML/XML internes"
"URL dans le sitemap","0","0,00%","1","Pages HTML/XML internes"
"URL ne figurant pas dans le sitemap","0","0,00%","1","Pages HTML/XML internes"
"URL orphelines","0","0,00%","1","Pages HTML/XML internes"
"URL non indexables dans le sitemap","0","0,00%","1","Pages HTML/XML internes"
"URL dans plusieurs sitemaps","0","0,00%","1","Pages HTML/XML internes"
"XML Sitemap avec plus de 50 000 URL","0","0,00%","1","Pages HTML/XML internes"
"XML Sitemap de plus de 50 Mo","0","0,00%","1","Pages HTML/XML internes"
""
"PageSpeed"
"Tous","1","100,00%","1","URL HTML internes avec code de réponse 2xx"
"Latence des demandes de documents","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Découverte des requêtes LCP","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Affichage des demandes de blocage","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Arborescence des dépendances réseau","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Utiliser des durées de vie de cache efficaces","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Responsables du décalage de mise en page","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Optimiser la taille du DOM","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Améliorer la diffusion des images","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Redistribution forcée","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Ancien code JavaScript","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"JavaScript dupliqué","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Affichage des polices","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Éviter les charges utiles du réseau volumineuses","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Minifier les CSS","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Minifier le JavaScript","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Réduire les CSS inutilisés","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Réduire les JavaScript inutilisés","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Réduire le temps d'exécution de JavaScript","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Minimiser le travail du fil principal","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
"Erreurs de requête","0","0,00%","1","URL HTML internes avec code de réponse 2xx"
""
"Mobile"
"Tous","1","100,00%","1",""
"Fenêtre d’affichage non définie","0","0,00%","1",""
"Taille cible","0","0,00%","1",""
"Contenu de taille inappropriée","0","0,00%","1",""
